Graph 0,tahminler
-3676672.0,1
1350656.0,1
6444544.0,1
11283456.0,1
16119296.0,1
20796160.0,1
20586496.0,1
15800576.0,1
10783232.0,1
5500416.0,1
-364032.0,1
-6668800.0,1
-12859904.0,1
-19372288.0,1
-25630464.0,1
-31635456.0,1
-37472512.0,1
-42732800.0,1
-47670016.0,1
-51991040.0,1
-55470336.0,1
-58028544.0,1
-59732224.0,1
-60780288.0,1
-60308480.0,1
-59080704.0,1
-56579840.0,1
-52973312.0,1
-48275456.0,1
-42335232.0,1
-35694848.0,1
-28034560.0,1
-19309824.0,1
-10008064.0,1
151808.0,1
10058240.0,1
20258304.0,1
31318528.0,1
41964544.0,1
52600320.0,1
63462144.0,1
73796608.0,1
84066048.0,1
93978112.0,1
103254784.0,1
111974144.0,1
119939584.0,1
127342848.0,1
133972224.0,1
140028928.0,1
144889600.0,1
149170944.0,1
152444416.0,1
155034368.0,1
156740096.0,1
157565952.0,1
157685504.0,1
156883968.0,1
155449344.0,1
153230336.0,1
150679808.0,1
99069696.0,1
98908672.0,1
99271168.0,1
100120320.0,1
101680128.0,1
103220224.0,1
105529088.0,1
108048896.0,1
110857472.0,1
113827584.0,1
117176576.0,1
120274944.0,1
123983872.0,1
127032064.0,1
130331648.0,1
133575680.0,1
136259584.0,1
139254272.0,1
141855744.0,1
144520448.0,1
146931456.0,1
149229824.0,1
151267840.0,1
153179136.0,1
154614016.0,1
156016896.0,1
156584448.0,1
156920320.0,1
156582912.0,1
155567360.0,1
153810944.0,1
151420672.0,1
148269824.0,1
144302592.0,1
139549440.0,1
133746944.0,1
127326976.0,1
119721984.0,1
111733504.0,1
102791424.0,1
93387264.0,1
82972928.0,1
71880192.0,1
60585472.0,1
48611072.0,1
36283904.0,1
23743488.0,1
10779392.0,1
-134140416.0,1
-137671168.0,1
-140053248.0,1
-141232384.0,1
-141677056.0,1
-140771072.0,1
-138896384.0,1
-136109568.0,1
-132528640.0,1
-128096256.0,1
-123001088.0,1
-117531136.0,1
-111553024.0,1
-105267456.0,1
-98898944.0,1
-92290048.0,1
-85914112.0,1
-79770368.0,1
-73941504.0,1
-68788224.0,1
-64174336.0,1
-60391168.0,1
-57231360.0,1
-54972416.0,1
-53793792.0,1
-53417472.0,1
-54100736.0,1
-55707648.0,1
-58174720.0,1
-61646336.0,1
-65800704.0,1
-71054080.0,1
-76733952.0,1
-82696192.0,1
-89120000.0,1
-96062208.0,1
-103011840.0,1
-109907456.0,1
-116675328.0,1
-123363072.0,1
-129334528.0,1
-134617088.0,1
-139201792.0,1
-71759360.0,1
-59016192.0,1
-45768960.0,1
-32322560.0,1
-18674944.0,1
-4880384.0,1
8916224.0,1
22361344.0,1
35083776.0,1
47705600.0,1
60169984.0,1
71606272.0,1
82725888.0,1
92484352.0,1
101273600.0,1
109308416.0,1
116093952.0,1
121968640.0,1
126605568.0,1
130056960.0,1
132499456.0,1
133569536.0,1
133493760.0,1
132401152.0,1
129964288.0,1
126783744.0,1
122413056.0,1
117321472.0,1
111292416.0,1
104444672.0,1
97261312.0,1
89465856.0,1
81557504.0,1
73529600.0,1
65262592.0,1
57002240.0,1
49242880.0,1
41481984.0,1
34216192.0,1
27559168.0,1
21344512.0,1
15662592.0,1
10633984.0,1
6286848.0,1
2732288.0,1
-211712.0,1
-2304512.0,1
-3881984.0,1
-4480000.0,1
-4472064.0,1
-3810048.0,1
-2484480.0,1
-658688.0,1
1537536.0,1
4015360.0,1
6842112.0,1
9726976.0,1
12710656.0,1
15538688.0,1
18477312.0,1
20977920.0,1
23432192.0,1
25402368.0,1
27088384.0,1
28251648.0,1
-17479424.0,1
-23551488.0,1
-29369088.0,1
-35177472.0,1
-41101056.0,1
-46795008.0,1
-52191232.0,1
-57462528.0,1
-62117888.0,1
-66654976.0,1
-70353152.0,1
-73532160.0,1
-76492544.0,1
-78769920.0,1
-80549376.0,1
-81881856.0,1
-82438400.0,1
-82480384.0,1
-81891584.0,1
-80896512.0,1
-79165696.0,1
-77028096.0,1
-74332160.0,1
-71016448.0,1
-67496704.0,1
-63465984.0,1
-59128320.0,1
-54619904.0,1
-49714432.0,1
-44719616.0,1
-39673600.0,1
-34490112.0,1
-29310208.0,1
-24268032.0,1
-19220224.0,1
-14214144.0,1
-9436672.0,1
-4601344.0,1
-37120.0,1
4350976.0,1
8499456.0,1
12284672.0,1
15804160.0,1
19211776.0,1
22464768.0,1
25781248.0,1
28575744.0,1
31542784.0,1
34552064.0,1
37009408.0,1
39801856.0,1
42077440.0,1
44421888.0,1
46609920.0,1
48504832.0,1
50401536.0,1
52108800.0,1
53446656.0,1
54748160.0,1
44931584.0,1
43071232.0,1
40969984.0,1
38723328.0,1
36285696.0,1
33540608.0,1
30879744.0,1
27805184.0,1
24633088.0,1
21281024.0,1
17734656.0,1
14236928.0,1
10441472.0,1
6998784.0,1
3164160.0,1
-744192.0,1
-5009664.0,1
-9086976.0,1
-13316096.0,1
-17610496.0,1
-21814272.0,1
-25966848.0,1
-30142464.0,1
-34422528.0,1
-38515712.0,1
-42642688.0,1
-46892288.0,1
-50827008.0,1
-55015424.0,1
-59095552.0,1
-63131648.0,1
-67149056.0,1
